"age";"job";"marital";"education";"default";"balance";"housing";"loan";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
"1";30;"unem";"marr";"prim";"no";1787;"no";"no";19;"oct";79;1;-1;0;"unk";"no"
"2";33;"serv";"marr";"sec";"no";4789;"yes";"yes";11;"may";220;1;339;4;"fail";"no"
"3";31;"mana";"sing";"ter";"no";135;"yes";"no";16;"apr";185;1;330;1;"fail";"no"
"4";30;"mana";"marr";"ter";"no";1476;"yes";"yes";3;"jun";199;4;-1;0;"unk";"no"
"6";44;"mana";"sing";"ter";"no";747;"no";"no";23;"feb";141;2;176;3;"fail";"no"
"7";36;"semp";"marr";"ter";"no";37;"yes";"no";14;"may";341;1;330;2;"oth";"no"
"8";39;"tech";"marr";"sec";"no";147;"yes";"no";6;"may";151;2;-1;0;"unk";"no"
"9";41;"ent";"marr";"ter";"no";221;"yes";"no";14;"may";57;2;-1;0;"unk";"no"
"10";43;"serv";"marr";"prim";"no";-88;"yes";"yes";17;"apr";313;1;147;2;"fail";"no"
"11";39;"serv";"marr";"sec";"no";9374;"yes";"no";20;"may";273;1;-1;0;"unk";"no"
"12";43;"adm";"marr";"sec";"no";264;"yes";"no";17;"apr";113;2;-1;0;"unk";"no"
"13";36;"tech";"marr";"ter";"no";119;"no";"no";13;"aug";328;2;-1;0;"unk";"no"
"14";20;"stu";"sing";"sec";"no";52;"no";"no";30;"apr";261;1;-1;0;"unk";"yes"
"15";31;"bcol";"marr";"sec";"no";36;"yes";"yes";29;"jan";89;1;241;1;"fail";"no"
"16";40;"mana";"marr";"ter";"no";194;"no";"yes";29;"aug";189;2;-1;0;"unk";"no"
"17";56;"tech";"marr";"sec";"no";473;"no";"no";27;"aug";239;5;-1;0;"unk";"no"
"18";37;"adm";"sing";"ter";"no";2317;"yes";"no";20;"apr";114;1;152;2;"fail";"no"
"19";25;"bcol";"sing";"prim";"no";-221;"yes";"no";23;"may";250;1;-1;0;"unk";"no"
"20";31;"serv";"marr";"sec";"no";132;"no";"no";7;"jul";148;1;152;1;"oth";"no"
"22";42;"mana";"div";"ter";"no";16;"no";"no";19;"nov";140;3;-1;0;"unk";"no"
"23";44;"serv";"sing";"sec";"no";16;"no";"no";12;"jun";109;2;-1;0;"unk";"no"
"24";44;"ent";"marr";"sec";"no";93;"no";"no";7;"jul";125;2;-1;0;"unk";"no"
"25";26;"hous";"marr";"ter";"no";543;"no";"no";30;"jan";169;3;-1;0;"unk";"no"
"26";41;"mana";"marr";"ter";"no";5883;"no";"no";20;"nov";182;2;-1;0;"unk";"no"
"27";55;"bcol";"marr";"prim";"no";627;"yes";"no";5;"may";247;1;-1;0;"unk";"no"
"28";67;"ret";"marr";"unk";"no";696;"no";"no";17;"aug";119;1;105;2;"fail";"no"
"29";56;"semp";"marr";"sec";"no";784;"no";"yes";30;"jul";149;2;-1;0;"unk";"no"
"30";30;"adm";"marr";"sec";"no";15;"no";"yes";21;"aug";74;2;-1;0;"unk";"no"
"31";68;"ret";"div";"sec";"no";4189;"no";"no";14;"jul";897;2;-1;0;"unk";"yes"
"32";31;"tech";"marr";"sec";"no";171;"no";"no";27;"aug";81;3;-1;0;"unk";"no"
"33";59;"mana";"marr";"sec";"no";42;"no";"no";21;"nov";40;1;-1;0;"unk";"no"
"34";32;"mana";"sing";"ter";"no";2536;"yes";"no";26;"aug";958;6;-1;0;"unk";"yes"
"35";49;"tech";"marr";"ter";"no";1235;"no";"no";13;"aug";354;3;-1;0;"unk";"yes"
"36";42;"adm";"div";"sec";"no";1811;"yes";"no";14;"may";150;1;-1;0;"unk";"no"
"37";78;"ret";"div";"prim";"no";229;"no";"no";22;"oct";97;1;-1;0;"unk";"yes"
"38";32;"bcol";"marr";"sec";"no";289;"yes";"no";14;"nov";132;1;-1;0;"unk";"yes"
"39";33;"mana";"marr";"sec";"no";3935;"yes";"no";6;"may";765;1;342;2;"fail";"yes"
"40";23;"serv";"sing";"ter";"no";363;"yes";"no";30;"may";16;18;-1;0;"unk";"no"
